cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
AT1 cells,,human,false,AGER,explicit,"Results p.116-117, Fig.3c",and CLIC5 and AGER in AT1 cells,pending,
AT1 cells,,human,false,CLIC5,explicit,"Results p.116-117, Fig.3c",and CLIC5 and AGER in AT1 cells,pending,
AT2 cells,,human,false,SFTPB,explicit,"Results p.116-117, Fig.3c",including expression of the lineage markers SFTPC and SFTPB in AT2 cells,pending,
AT2 cells,,human,false,SFTPC,explicit,"Results p.116-117, Fig.3c",including expression of the lineage markers SFTPC and SFTPB in AT2 cells,pending,
Airway basal,,human,false,KRT5,explicit,"Results p.118, Extended Data Fig.10a-e",we recovered four distinct trajectories: KRT5+TP63+ basal,pending,
Airway basal,,human,false,TP63,explicit,"Results p.118, Extended Data Fig.10a-e",we recovered four distinct trajectories: KRT5+TP63+ basal,pending,
DATP,,human,false,CDKN1A,explicit,Methods - Module scores for feature expression,"Three genes (CLDN4, KRT8, CDKN1A) comprised the initial DATP signature thus derived.",pending,
DATP,,human,false,CLDN4,explicit,Methods - Module scores for feature expression,"Three genes (CLDN4, KRT8, CDKN1A) comprised the initial DATP signature thus derived.",pending,
DATP,,human,false,KRT8,explicit,Methods - Module scores for feature expression,"Three genes (CLDN4, KRT8, CDKN1A) comprised the initial DATP signature thus derived.",pending,
DATPs,,human,false,CDKN1A,explicit,Results p.117,"We used expression of the DATP marker genes (KRT8, CLDN4 and CDKN1A)25 to develop a DATP signature",pending,
DATPs,,human,false,CLDN4,explicit,Results p.117,"We used expression of the DATP marker genes (KRT8, CLDN4 and CDKN1A)25 to develop a DATP signature",pending,
DATPs,,human,false,KRT8,explicit,Results p.117,"We used expression of the DATP marker genes (KRT8, CLDN4 and CDKN1A)25 to develop a DATP signature",pending,
Pathological fibroblasts,,human,false,CTHRC1,explicit,"Results p.118, Extended Data Fig.12e, Supplementary Table 9","pFBs strongly expressed CTHRC1, a recently described hallmark gene that defines these cells, and genes of pathological ECM3, including COL1A1 and COL3A1",pending,
fibroblast,pathological fibroblasts,human,false,COL1A1,explicit,Methods - Cell-type identification,Cell clusters with high expression of COL1A1 and CTHRC1 were annotated as ‘pathological fibroblasts’ because they have been reported to contribute to the leading edge of fibrosis.,pending,
fibroblast,pathological fibroblasts,human,false,CTHRC1,explicit,Methods - Cell-type identification,Cell clusters with high expression of COL1A1 and CTHRC1 were annotated as ‘pathological fibroblasts’ because they have been reported to contribute to the leading edge of fibrosis.,pending,
tuft-like cells,,human,false,CHAT,explicit,Results p.118,The numbers of tuft cells (CHAT+ or POU2F3+) were increased threefold in the upper airways of individuals with COVID-19,pending,
tuft-like cells,,human,false,POU2F3,explicit,Results p.118,The numbers of tuft cells (CHAT+ or POU2F3+) were increased threefold in the upper airways of individuals with COVID-19,pending,
Pathological fibroblasts,,human,false,COL1A1,implied,"Results p.118, Extended Data Fig.12e, Supplementary Table 9","pFBs strongly expressed CTHRC1, a recently described hallmark gene that defines these cells, and genes of pathological ECM3, including COL1A1 and COL3A1",pending,
Pathological fibroblasts,,human,false,COL3A1,implied,"Results p.118, Extended Data Fig.12e, Supplementary Table 9","pFBs strongly expressed CTHRC1, a recently described hallmark gene that defines these cells, and genes of pathological ECM3, including COL1A1 and COL3A1",pending,
